block,RT,image,position,response,order,environment,condition,location,binary,label
82,152,ashtray04,22,-1,4,ashtray,a,outdoor,0,ashtray
83,53,ashtray22,4,-1,4,ashtray,a,outdoor,0,ashtray
84,106,ashtray21,5,-1,4,ashtray,a,outdoor,0,ashtray
85,34,ashtray14,12,-1,4,ashtray,a,outdoor,0,ashtray
86,89,mug02,24,-1,4,mug,a,outdoor,0,mug
87,655,mug08,18,-1,4,mug,a,outdoor,0,mug
88,36,mug11,15,-1,4,mug,a,outdoor,0,mug
89,61,mug09,17,-1,4,mug,a,outdoor,0,mug
90,126,mug20,6,-1,4,mug,a,outdoor,0,mug
91,174,axe17,9,-1,4,axe,a,outdoor,0,axe
92,140,axe13,13,-1,4,axe,a,outdoor,0,axe
93,53,axe08,18,-1,4,axe,a,outdoor,0,axe
94,148,axe03,23,-1,4,axe,a,outdoor,0,axe
95,88,axe25,1,-1,4,axe,a,outdoor,0,axe
96,88,package06,20,-1,4,package,a,outdoor,0,package
97,41,package22,4,-1,4,package,a,outdoor,0,package
98,37,package18,8,-1,4,package,a,outdoor,0,package
99,384,package17,9,-1,4,package,a,outdoor,0,package
100,85,package11,15,-1,4,package,a,outdoor,0,package
2,205,soap15,11,-1,4,soap,a,indoor,0,soap
3,171,soap22,4,-1,4,soap,a,indoor,0,soap
4,339,soap06,20,1,4,soap,a,indoor,1,soap
5,222,soap23,3,1,4,soap,a,indoor,1,soap
6,197,microwave17,9,1,4,microwave,a,indoor,1,microwave
7,197,microwave20,6,-1,4,microwave,a,indoor,0,microwave
8,383,microwave04,22,-1,4,microwave,a,indoor,0,microwave
9,406,microwave25,1,1,4,microwave,a,indoor,1,microwave
10,262,microwave05,21,-1,4,microwave,a,indoor,0,microwave
11,315,lamp24,2,-1,4,lamp,a,indoor,0,lamp
12,325,lamp07,19,-1,4,lamp,a,indoor,0,lamp
13,365,lamp02,24,-1,4,lamp,a,indoor,0,lamp
14,619,lamp09,17,-1,4,lamp,a,indoor,0,lamp
15,359,lamp03,23,-1,4,lamp,a,indoor,0,lamp
16,243,firealarm05,21,1,4,firealarm,a,indoor,1,firealarm
17,523,firealarm10,16,-1,4,firealarm,a,indoor,0,firealarm
18,128,firealarm23,3,1,4,firealarm,a,indoor,1,firealarm
19,152,firealarm06,20,-1,4,firealarm,a,indoor,0,firealarm
20,215,firealarm13,13,1,4,firealarm,a,indoor,1,firealarm
21,127,candle22,4,-1,4,candle,a,indoor,0,candle
22,582,candle24,2,1,4,candle,a,indoor,1,candle
23,191,candle02,24,-1,4,candle,a,indoor,0,candle
24,479,candle20,6,-1,4,candle,a,indoor,0,candle
25,358,candle18,8,1,4,candle,a,indoor,1,candle
26,122,vase09,17,-1,4,vase,a,indoor,0,vase
28,148,vase12,14,1,4,vase,a,indoor,1,vase
29,194,vase16,10,-1,4,vase,a,indoor,0,vase
30,166,vase01,25,-1,4,vase,a,indoor,0,vase
31,299,kettle04,22,-1,4,kettle,a,indoor,0,kettle
32,145,kettle13,13,-1,4,kettle,a,indoor,0,kettle
33,177,kettle05,21,-1,4,kettle,a,indoor,0,kettle
34,381,kettle25,1,-1,4,kettle,a,indoor,0,kettle
35,296,kettle22,4,-1,4,kettle,a,indoor,0,kettle
36,316,dvdplayer01,25,1,4,dvdplayer,a,indoor,1,dvdplayer
37,554,dvdplayer03,23,1,4,dvdplayer,a,indoor,1,dvdplayer
38,227,dvdplayer14,12,-1,4,dvdplayer,a,indoor,0,dvdplayer
39,214,dvdplayer17,9,-1,4,dvdplayer,a,indoor,0,dvdplayer
40,164,dvdplayer19,7,-1,4,dvdplayer,a,indoor,0,dvdplayer
41,327,mouse11,15,1,4,mouse,a,indoor,1,mouse
42,162,mouse05,21,1,4,mouse,a,indoor,1,mouse
43,203,mouse18,8,-1,4,mouse,a,indoor,0,mouse
44,163,mouse15,11,1,4,mouse,a,indoor,1,mouse
45,169,mouse13,13,1,4,mouse,a,indoor,1,mouse
46,335,pottedplant23,3,1,4,pottedplant,a,indoor,1,pottedplant
47,6,pottedplant03,23,-1,4,pottedplant,a,indoor,0,pottedplant
48,100,pottedplant10,16,-1,4,pottedplant,a,indoor,0,pottedplant
49,519,pottedplant25,1,-1,4,pottedplant,a,indoor,0,pottedplant
50,196,pottedplant09,17,1,4,pottedplant,a,indoor,1,pottedplant
51,186,pitchfork15,11,-1,4,pitchfork,a,outdoor,0,pitchfork
52,419,pitchfork05,21,-1,4,pitchfork,a,outdoor,0,pitchfork
53,548,pitchfork17,9,1,4,pitchfork,a,outdoor,1,pitchfork
54,504,pitchfork14,12,1,4,pitchfork,a,outdoor,1,pitchfork
55,353,pitchfork01,25,-1,4,pitchfork,a,outdoor,0,pitchfork
56,290,bird06,20,-1,4,bird,a,outdoor,0,bird
57,232,bird24,2,1,4,bird,a,outdoor,1,bird
58,313,bird02,24,-1,4,bird,a,outdoor,0,bird
59,214,bird17,9,-1,4,bird,a,outdoor,0,bird
60,239,bird04,22,-1,4,bird,a,outdoor,0,bird
61,261,mailbox03,23,-1,4,mailbox,a,outdoor,0,mailbox
62,338,mailbox10,16,1,4,mailbox,a,outdoor,1,mailbox
63,163,mailbox20,6,-1,4,mailbox,a,outdoor,0,mailbox
64,337,mailbox09,17,-1,4,mailbox,a,outdoor,0,mailbox
65,175,mailbox07,19,-1,4,mailbox,a,outdoor,0,mailbox
66,2481,frog13,13,-1,4,frog,a,outdoor,0,frog
67,439,frog12,14,-1,4,frog,a,outdoor,0,frog
68,461,frog11,15,-1,4,frog,a,outdoor,0,frog
69,257,frog21,5,-1,4,frog,a,outdoor,0,frog
70,705,frog10,16,-1,4,frog,a,outdoor,0,frog
71,233,cactus18,8,1,4,cactus,a,outdoor,1,cactus
72,494,cactus15,11,-1,4,cactus,a,outdoor,0,cactus
73,235,cactus25,1,1,4,cactus,a,outdoor,1,cactus
74,285,cactus05,21,1,4,cactus,a,outdoor,1,cactus
75,359,cactus20,6,1,4,cactus,a,outdoor,1,cactus
76,194,bottle23,3,-1,4,bottle,a,outdoor,0,bottle
77,302,bottle09,17,1,4,bottle,a,outdoor,1,bottle
78,555,bottle08,18,1,4,bottle,a,outdoor,1,bottle
79,358,bottle10,16,1,4,bottle,a,outdoor,1,bottle
80,381,bottle07,19,-1,4,bottle,a,outdoor,0,bottle
81,226,ashtray15,11,1,4,ashtray,a,outdoor,1,ashtray
82,189,ashtray04,22,-1,4,ashtray,a,outdoor,0,ashtray
83,398,ashtray22,4,1,4,ashtray,a,outdoor,1,ashtray
84,421,ashtray21,5,1,4,ashtray,a,outdoor,1,ashtray
85,252,ashtray14,12,-1,4,ashtray,a,outdoor,0,ashtray
86,555,mug02,24,1,4,mug,a,outdoor,1,mug
87,892,mug08,18,1,4,mug,a,outdoor,1,mug
88,667,mug11,15,-1,4,mug,a,outdoor,0,mug
89,488,mug09,17,-1,4,mug,a,outdoor,0,mug
90,617,mug20,6,-1,4,mug,a,outdoor,0,mug
91,356,axe17,9,-1,4,axe,a,outdoor,0,axe
92,381,axe13,13,-1,4,axe,a,outdoor,0,axe
93,484,axe08,18,-1,4,axe,a,outdoor,0,axe
94,172,axe03,23,-1,4,axe,a,outdoor,0,axe
95,215,axe25,1,1,4,axe,a,outdoor,1,axe
96,312,package06,20,1,4,package,a,outdoor,1,package
97,267,package22,4,1,4,package,a,outdoor,1,package
98,191,package18,8,1,4,package,a,outdoor,1,package
99,625,package17,9,-1,4,package,a,outdoor,0,package
100,195,package11,15,1,4,package,a,outdoor,1,package
1,658,soap10,16,1,4,soap,a,indoor,1,soap
2,833,soap15,11,-1,4,soap,a,indoor,0,soap
3,1573,soap22,4,-1,4,soap,a,indoor,0,soap
4,191,soap06,20,1,4,soap,a,indoor,1,soap
5,514,soap23,3,1,4,soap,a,indoor,1,soap
6,881,microwave17,9,-1,4,microwave,a,indoor,0,microwave
7,839,microwave20,6,1,4,microwave,a,indoor,1,microwave
8,424,microwave04,22,-1,4,microwave,a,indoor,0,microwave
9,598,microwave25,1,1,4,microwave,a,indoor,1,microwave
10,602,microwave05,21,1,4,microwave,a,indoor,1,microwave
11,398,lamp24,2,-1,4,lamp,a,indoor,0,lamp
12,314,lamp07,19,-1,4,lamp,a,indoor,0,lamp
13,398,lamp02,24,-1,4,lamp,a,indoor,0,lamp
14,522,lamp09,17,-1,4,lamp,a,indoor,0,lamp
15,248,lamp03,23,-1,4,lamp,a,indoor,0,lamp
