image,environment,condition,label,block,RT,position,response,order,binary,preferred,distance_from_optimal,pixels,log_pixels,group,scene
microwave16,microwave,c,microwave,7.0,562.3181818181819,10.0,0.0,2.0,0.5,10.96,-0.9600000000000009,0.0,-inf,none,microwave
microwave17,microwave,a,microwave,6.0,670.2272727272727,9.0,0.18181818181818182,4.0,0.5909090909090909,10.96,-1.9600000000000009,18318.0,9.815639461962933,big,microwave
microwave17,microwave,b,orange,6.0,639.9777777777778,9.0,0.15555555555555556,4.0,0.5777777777777777,2.16,6.84,792.0,6.674561391814426,small,microwave
microwave17,microwave,c,microwave,10.0,568.5333333333333,9.0,0.06666666666666667,2.0,0.5333333333333333,10.96,-1.960000000000001,0.0,-inf,none,microwave
microwave18,microwave,a,microwave,8.0,674.1136363636364,8.0,0.0,3.0,0.5,10.96,-2.960000000000001,20700.0,9.93788897925346,big,microwave
microwave18,microwave,b,orange,8.0,730.9777777777778,8.0,-0.4666666666666667,3.0,0.26666666666666666,2.16,5.84,884.0,6.784457062637643,small,microwave
microwave18,microwave,c,microwave,7.0,446.75555555555553,8.0,-0.022222222222222223,4.0,0.4888888888888889,10.96,-2.960000000000001,0.0,-inf,none,microwave
microwave19,microwave,a,microwave,9.0,737.5454545454545,7.0,0.45454545454545453,5.0,0.7272727272727273,10.96,-3.960000000000001,20927.0,9.94879547024067,big,microwave
microwave19,microwave,b,orange,9.0,730.9772727272727,7.0,0.0,5.0,0.5,2.16,4.84,956.0,6.862757913051401,small,microwave
microwave19,microwave,c,microwave,9.0,651.4444444444445,7.0,0.1111111111111111,1.0,0.5555555555555556,10.96,-3.960000000000001,0.0,-inf,none,microwave
microwave20,microwave,a,microwave,7.0,640.5777777777778,6.0,0.3333333333333333,4.0,0.6666666666666666,10.96,-4.960000000000001,19641.0,9.8853744971092,big,microwave
microwave20,microwave,b,orange,7.0,835.9090909090909,6.0,0.36363636363636365,4.0,0.6818181818181818,2.16,3.8399999999999994,1081.0,6.985641817639208,small,microwave
microwave20,microwave,c,microwave,7.0,496.90697674418607,6.0,0.20930232558139536,1.0,0.6046511627906976,10.96,-4.960000000000001,0.0,-inf,none,microwave
microwave21,microwave,a,microwave,7.0,788.7045454545455,5.0,0.45454545454545453,1.0,0.7272727272727273,10.96,-5.96,18223.0,9.810439811486056,big,microwave
microwave21,microwave,b,orange,7.0,835.0444444444445,5.0,0.1111111111111111,1.0,0.5555555555555556,2.16,2.84,1151.0,7.048386408721883,small,microwave
microwave21,microwave,c,microwave,8.0,481.47727272727275,5.0,0.22727272727272727,3.0,0.6136363636363636,10.96,-5.96,0.0,-inf,none,microwave
microwave22,microwave,a,microwave,8.0,679.1111111111111,4.0,0.3333333333333333,2.0,0.6666666666666666,10.96,-6.960000000000001,17167.0,9.75074421527093,big,microwave
microwave22,microwave,b,orange,8.0,698.6,4.0,0.1111111111111111,2.0,0.5555555555555556,2.16,1.8399999999999999,1263.0,7.141245122350491,small,microwave
microwave22,microwave,c,microwave,6.0,500.97727272727275,4.0,0.22727272727272727,3.0,0.6136363636363636,10.96,-6.96,0.0,-inf,none,microwave
microwave23,microwave,a,microwave,8.0,797.8666666666667,3.0,0.5555555555555556,1.0,0.7777777777777778,10.96,-7.960000000000001,16078.0,9.685207156887905,big,microwave
microwave23,microwave,b,orange,8.0,616.0666666666667,3.0,0.15555555555555556,1.0,0.5777777777777777,2.16,0.84,1544.0,7.342131730584722,small,microwave
microwave23,microwave,c,microwave,6.0,566.7727272727273,3.0,0.2727272727272727,2.0,0.6363636363636364,10.96,-7.96,0.0,-inf,none,microwave
microwave24,microwave,a,microwave,6.0,763.4888888888889,2.0,0.28888888888888886,3.0,0.6444444444444445,10.96,-8.96,14917.0,9.61025678115393,big,microwave
microwave24,microwave,b,orange,6.0,599.5333333333333,2.0,0.5111111111111111,3.0,0.7555555555555555,2.16,-0.16000000000000014,1838.0,7.516433302915632,small,microwave
microwave24,microwave,c,microwave,9.0,593.5581395348837,2.0,0.20930232558139536,2.0,0.6046511627906976,10.96,-8.96,0.0,-inf,none,microwave
microwave25,microwave,a,microwave,9.0,849.8444444444444,1.0,0.4222222222222222,4.0,0.7111111111111111,10.96,-9.96,14202.0,9.561138078742038,big,microwave
microwave25,microwave,b,orange,9.0,823.5111111111111,1.0,0.6,4.0,0.8,2.16,-1.1600000000000001,1841.0,7.518064181233078,small,microwave
microwave25,microwave,c,microwave,8.0,634.4888888888889,1.0,0.06666666666666667,4.0,0.5333333333333333,10.96,-9.96,0.0,-inf,none,microwave
mouse01,mouse,a,mouse,44.0,546.0909090909091,25.0,-0.45454545454545453,2.0,0.2727272727272727,4.69,20.31,132.0,4.882801922586371,small,mouse
mouse01,mouse,b,keyboard,44.0,698.9772727272727,25.0,-0.5,2.0,0.25,3.0899999999999994,21.91,678.0,6.519147287940395,big,mouse
mouse01,mouse,c,mouse,41.0,545.9047619047619,25.0,-0.14285714285714285,3.0,0.42857142857142855,4.69,20.31,0.0,-inf,none,mouse
mouse02,mouse,a,mouse,41.0,621.4,24.0,-0.28888888888888886,2.0,0.35555555555555557,4.69,19.31,165.0,5.10594547390058,small,mouse
mouse02,mouse,b,keyboard,41.0,639.7441860465116,24.0,-0.5813953488372093,2.0,0.20930232558139536,3.0900000000000003,20.91,519.0,6.251903883165888,big,mouse
mouse02,mouse,c,mouse,45.0,717.7777777777778,24.0,-0.1111111111111111,1.0,0.4444444444444444,4.69,19.31,0.0,-inf,none,mouse
mouse03,mouse,a,mouse,43.0,756.4666666666667,23.0,-0.6,2.0,0.2,4.69,18.31,159.0,5.0689042022202315,small,mouse
mouse03,mouse,b,keyboard,43.0,551.4888888888889,23.0,-0.6444444444444445,2.0,0.17777777777777778,3.0899999999999994,19.91,376.0,5.929589143389895,big,mouse
mouse03,mouse,c,mouse,42.0,577.952380952381,23.0,-0.047619047619047616,3.0,0.47619047619047616,4.69,18.31,0.0,-inf,none,mouse
mouse04,mouse,a,mouse,44.0,592.1111111111111,22.0,-0.24444444444444444,3.0,0.37777777777777777,4.69,17.31,165.0,5.10594547390058,small,mouse
mouse04,mouse,b,keyboard,44.0,630.1818181818181,22.0,-0.5,3.0,0.25,3.0899999999999994,18.91,635.0,6.453624998892692,big,mouse
mouse04,mouse,c,mouse,44.0,553.3255813953489,22.0,0.06976744186046512,1.0,0.5348837209302325,4.69,17.31,0.0,-inf,none,mouse
mouse05,mouse,a,mouse,42.0,582.8444444444444,21.0,-0.6444444444444445,4.0,0.17777777777777778,4.69,16.31,181.0,5.198497031265826,small,mouse
mouse05,mouse,b,keyboard,42.0,670.3181818181819,21.0,-0.5,4.0,0.25,3.0899999999999994,17.91,690.0,6.536691597591305,big,mouse
mouse05,mouse,c,mouse,45.0,574.9777777777778,21.0,-0.1111111111111111,4.0,0.4444444444444444,4.69,16.31,0.0,-inf,none,mouse
mouse06,mouse,a,mouse,45.0,551.2,20.0,-0.3333333333333333,1.0,0.3333333333333333,4.69,15.309999999999999,164.0,5.099866427824199,small,mouse
